deltaMs,gpsLat,gpsLon,speed,rawLatG,rawLongG
19163,43.04737432,-89.44415774,6.217668041,0.07844268,-0.037000116
19220,43.04737432,-89.44415774,6.217668041,-0.072477445,-0.045883257
19276,43.0473681,-89.44405933,7.152526942,-0.006514389,0.008883565
19334,43.0473681,-89.44405933,7.152526942,-0.038784117,-3.11E-04
19391,43.0473681,-89.44405933,7.152526942,-0.059136298,0.02563302
19449,43.0473681,-89.44405933,7.152526942,-0.045926154,0.019014651
19516,43.0473681,-89.44405933,7.152526942,-0.083981715,-0.047646422
19577,43.0473681,-89.44405933,7.152526942,-0.023180556,-0.055149484
19636,43.0473681,-89.44405933,7.152526942,-0.034563527,0.032207545
19697,43.0473681,-89.44405933,7.152526942,-0.12556623,0.056432545
19756,43.0473681,-89.44405933,7.152526942,0.10436986,0.012563442
19823,43.0473681,-89.44405933,7.152526942,-0.002120566,-0.069197714
19886,43.0473681,-89.44405933,7.152526942,0.004357099,-0.058429345
19944,43.0473681,-89.44405933,7.152526942,0.051680997,-0.05839078
20006,43.0473681,-89.44405933,7.152526942,0.01836174,-0.09191891
20069,43.0473681,-89.44405933,7.152526942,0.08880819,-0.060706753
20135,43.0473681,-89.44405933,7.152526942,0.14683408,-0.04951493
20197,43.0473681,-89.44405933,7.152526942,0.024544228,-0.003921147
20255,43.0473681,-89.44405933,7.152526942,0.011618572,-0.082921
20316,43.04735831,-89.44395383,7.921966986,-0.11146127,-0.106352605
20374,43.04735831,-89.44395383,7.921966986,0.0028006,-0.0945316
20431,43.04735831,-89.44395383,7.921966986,0.061535217,-0.06837289
20489,43.04735831,-89.44395383,7.921966986,-0.012123529,-0.05625196
20547,43.04735831,-89.44395383,7.921966986,0.03893495,-0.095069975
20604,43.04735831,-89.44395383,7.921966986,0.004826764,-0.02706934
20663,43.04735831,-89.44395383,7.921966986,0.020027438,-0.029519064
20726,43.04735831,-89.44395383,7.921966986,-0.021091608,-0.04907132
20787,43.04735831,-89.44395383,7.921966986,-0.018236661,-0.06851248
20846,43.04735831,-89.44395383,7.921966986,0.043605734,-0.058851924
20902,43.04735831,-89.44395383,7.921966986,0.01655952,-0.061438754
20962,43.04735831,-89.44395383,7.921966986,0.03187276,-0.08349105
21018,43.04735831,-89.44395383,7.921966986,0.057119265,-0.010929229
21078,43.04735831,-89.44395383,7.921966986,0.04951366,-0.050735354
21136,43.04735831,-89.44395383,7.921966986,-0.015049575,-0.010853054
21198,43.04735831,-89.44395383,7.921966986,0.013571138,-0.07189361
21255,43.04735831,-89.44395383,7.921966986,-0.051305506,-0.08634132
21312,43.04734133,-89.44384537,8.449680207,0.015877455,-0.018612016
21395,43.04734133,-89.44384537,8.449680207,-0.001048791,-0.06754499
21459,43.04734133,-89.44384537,8.449680207,-0.05621337,-0.025695503
21519,43.04734133,-89.44384537,8.449680207,0.30674323,0.07409666
21578,43.04734133,-89.44384537,8.449680207,-0.2155084,-0.14548008
21640,43.04734133,-89.44384537,8.449680207,-0.013429018,-0.05896288
21698,43.04734133,-89.44384537,8.449680207,-0.014126894,-0.029630154
21759,43.04734133,-89.44384537,8.449680207,-0.057252392,-0.002312799
21823,43.04734133,-89.44384537,8.449680207,0.23137918,-0.14117147
21881,43.04734133,-89.44384537,8.449680207,-0.24518386,-0.09876943
21947,43.04734133,-89.44384537,8.449680207,-0.15898387,-0.018214813
22011,43.04734133,-89.44384537,8.449680207,-0.061532147,-0.08709567
22068,43.04734133,-89.44384537,8.449680207,0.13605513,0.023446001
22130,43.04734133,-89.44384537,8.449680207,0.050516237,-0.040509008
22192,43.04734133,-89.44384537,8.449680207,0.04485672,-0.044561554
22249,43.04734133,-89.44384537,8.449680207,-0.006048997,-0.043100186
22306,43.04731649,-89.44373818,8.838599323,-0.005095685,-0.08432695
22362,43.04731649,-89.44373818,8.838599323,0.14575985,-0.031703714
22418,43.04731649,-89.44373818,8.838599323,-0.007892075,0.002013072
22482,43.04731649,-89.44373818,8.838599323,0.11295119,-0.042215083
22542,43.04731649,-89.44373818,8.838599323,0.084034905,-0.010740644
22604,43.04731649,-89.44373818,8.838599323,0.008119591,-0.02574029
22663,43.04731649,-89.44373818,8.838599323,-0.015970038,-0.05479441
22725,43.04731649,-89.44373818,8.838599323,-0.25020903,-0.041541208
22789,43.04731649,-89.44373818,8.838599323,-0.16934906,-0.06132363
22847,43.04731649,-89.44373818,8.838599323,-0.0180001,0.005910023
22908,43.04731649,-89.44373818,8.838599323,0.041338515,-0.04675875
22968,43.04731649,-89.44373818,8.838599323,0.017209612,-0.06297882
23034,43.04731649,-89.44373818,8.838599323,0.040333986,-0.0905818
23092,43.04731649,-89.44373818,8.838599323,-0.13024284,-0.06911248
23149,43.04731649,-89.44373818,8.838599323,-0.11828739,-0.012571055
